Date,UUP,FDN,IBB,IEZ,IGV,IHE,IHF,IHI,ITA,ITB,IYJ,IYT,IYW,IYZ,KBE,KCE,KIE,PBJ,PBS,SMH,VNQ
2009-01-30,25.95000076,13.5,23.57666779,26.54000092,30.01000023,43.58000183,35.61000061,6.596666813,20.06999969,8.630000114,19.14500046,52.68000031,8.587499619,15.38000011,14.27999973,22.79000092,7.196667194,12.21000004,6.980000019,8.460000038,30.05999947
2009-02-02,25.93000031,13.72999954,23.79333305,25.98999977,30.19000053,44.06000137,36.72000122,6.626667023,19.69000053,8.75,18.79999924,51.88000107,8.715000153,15.64000034,14.18000031,22.63999939,7.349999905,12.31000042,6.989999771,8.704999924,30.79000092
2009-02-03,25.61000061,14.09000015,24.22333336,26.07999992,30.82999992,45.02000046,37.72999954,6.698332787,19.95000076,9.350000381,19.14999962,54,8.850000381,15.82999992,13.38000011,23.14999962,7.346666813,12.53999996,7,8.779999733,30.47999954
2009-02-04,25.85000038,14.03999996,24.31333351,26.88999939,31,44.74000168,37.16999817,6.756667137,19.92000008,9.210000038,19.17000008,53.49000168,8.907500267,15.52000046,13.27000046,23.69000053,7.283332825,12.34000015,6.909999847,8.93500042,29.73999977
2009-02-05,25.93000031,14.48999977,24.64666748,27.94000053,31.77000046,44.91999817,38.27000046,6.800000191,20.12000084,9.359999657,19.29500008,54.63000107,9.079999924,15.63000011,13.63000011,24.70999908,7.476666927,12.42000008,6.96999979,9.260000229,29.11000061
2009-02-06,25.70999908,14.86999989,24.82999992,28.86000061,32.72999954,45.61999893,38.68999863,6.893332958,20.18000031,10.14000034,19.77000046,57.33000183,9.395000458,16.13999939,15.18999958,25.76000023,7.610000134,12.63000011,7.150000095,9.444999695,31.12999916
2009-02-09,25.54000092,15.02000046,24.7266674,28.95999908,32.59999847,45.18999863,38.77000046,6.835000038,20.40500069,9.930000305,20.13999939,57.36999893,9.4375,16.17000008,15.47999954,25.79000092,7.806666851,12.48999977,7.119999886,9.479999542,31.59000015
2009-02-10,25.84000015,14.34000015,24.08666611,27.43000031,31.25,43.70999908,37.40999985,6.646667004,19.50499916,9.050000191,19.15500069,54.49000168,9.06000042,15.60000038,13.28999996,23.87999916,7.063333035,12.18000031,6.840000153,9.050000191,28.78000069
2009-02-11,25.87999916,14.34000015,24.18666649,27.06999969,31.54999924,44.36999893,37.84999847,6.726666927,19.46999931,9.130000114,19.20499992,53.81000137,9.06499958,15.52999973,14.18999958,24.5,7.336667061,12.25,6.820000172,8.914999962,29.32999992
2009-02-12,25.97999954,14.39000034,24.64999962,26.86000061,31.62999916,44.84000015,38.40000153,6.806666851,19.49500084,8.869999886,19.125,53.54000092,9.112500191,15.60999966,13.77999973,24.75,7.466667175,12.42000008,6.880000114,8.970000267,28.82999992
